Name,Label,Phone,Email,Address City,Address State,Address Country,OLX Company ID,OLX URL,Ads count,Sample titles,Note
Manpower Poland,OLX-agencja,,,Wrocław,Dolnośląskie,Poland,1256748565,https://www.olx.pl/oferta/praca/pracownik-produkcji-m-k-CID4-ID1aLWT5.html,89,Pracownik produkcji/ Робота на виробництві від зараз (M/K) | Operator/ka maszyn (również z orzeczeniem) | Pracownik produkcji (również z orzeczeniem) – 2 zmiany,OLX: 89 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Pracownik produkcji/ Робота на виробництві від зараз (M/K) | Operator/ka maszyn (również z orzeczeniem) | Pracownik produkcji (również z orzeczeniem) – 2 zmiany
Adecco Poland Sp. z o.o.,OLX-agencja,,,Tychy,Małopolskie,Poland,706410299,https://www.olx.pl/oferta/praca/pracownik-produkcji-2-zmiany-k-m-CID4-ID1aLWSv.html,62,Pracownik Produkcji - 2 zmiany (K/M) | Młodszy operator produkcji (K/M) Praca od zaraz | Produkcja ostatnie wolne wakaty! - zarabiaj do 6300 zł - od zaraz!,OLX: 62 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Pracownik Produkcji - 2 zmiany (K/M) | Młodszy operator produkcji (K/M) Praca od zaraz | Produkcja ostatnie wolne wakaty! - zarabiaj do 6300 zł - od zaraz!
Randstad Polska Sp. z o.o.,OLX-agencja,,,Wrocław,Mazowieckie,Poland,74006062,https://www.olx.pl/oferta/praca/operator-ka-pras-krawedziowych-cnc-CID4-ID1aLUnP.html,57,Operator/ka pras krawędziowych CNC | Работа на производстве с выходом уже сейчас | От 4200 - 4500 зл нетто | Робота на виробництві з вихідом вже зараз | 4200 - 4500 зл нетто,OLX: 57 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Operator/ka pras krawędziowych CNC | Работа на производстве с выходом уже сейчас | От 4200 - 4500 зл нетто | Робота на виробництві з вихідом вже зараз | 4200 - 4500 зл нетто
Liubov Kysil,OLX-lead,,,Radomsko,Śląskie,Poland,2106551809,https://www.olx.pl/oferta/praca/pracownik-produkcji-k-m-swbiebodzin-CID4-ID1aLRh0.html,40,Pracownik produkcji (k/m) | Śwbiebodzin | Pracownik Produkcji bez doświadczenia (K/M) | Pomocnik mleczarski,OLX: 40 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Pracownik produkcji (k/m) | Śwbiebodzin | Pracownik Produkcji bez doświadczenia (K/M) | Pomocnik mleczarski
Steam Recruitment Sp. z o.o.,OLX-agencja,,,Dzierżoniów,Dolnośląskie,Poland,2509288440,https://www.olx.pl/oferta/praca/praca-atrakcyjne-wynagrodzenie-dzwon-teraz-CID4-ID1aKA7d.html,22,PRACA/Atrakcyjne Wynagrodzenie/ Dzwoń teraz!! | PRACA - Szybki start/Świetny zarobek/DZWOŃ właśnie teraz!!! | Pilne PRACA/Częstochowa Aplikuj i dowiedz się więcej!!,OLX: 22 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: PRACA/Atrakcyjne Wynagrodzenie/ Dzwoń teraz!! | PRACA - Szybki start/Świetny zarobek/DZWOŃ właśnie teraz!!! | Pilne PRACA/Częstochowa Aplikuj i dowiedz się więcej!!
Exact x Forestall Group,OLX-agencja,,,Bolechowo,Śląskie,Poland,21214015,https://www.olx.pl/oferta/praca/praca-na-1-zmiane-od-zaraz-wsparcie-produkcji-z-udt-bez-cv-dzwon-CID4-ID1aMANZ.html,19,Praca na 1 zmianę od Zaraz Wsparcie produkcji z UDT bez CV/Dzwoń! | Praca w Skoczowie-Proste Prace bez CV/Aplikuj! | Operator Wsparcia Produkcji-1 zmiana-Wyskoie zarobki !,OLX: 19 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Praca na 1 zmianę od Zaraz Wsparcie produkcji z UDT bez CV/Dzwoń! | Praca w Skoczowie-Proste Prace bez CV/Aplikuj! | Operator Wsparcia Produkcji-1 zmiana-Wyskoie zarobki !
Personnel Service Polska sp. z o.o.,OLX-agencja,,,Chorzów,Śląskie,Poland,1364798850,https://www.olx.pl/oferta/praca/pracownik-produkcji-rolet-k-m-CID4-ID1aMkAp.html,17,Pracownik produkcji rolet (K/M) | Pracownik produkcji - bez doświadczenia (K/M) | Operator/ka Maszyn Produkcyjnych - Tychy,OLX: 17 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Pracownik produkcji rolet (K/M) | Pracownik produkcji - bez doświadczenia (K/M) | Operator/ka Maszyn Produkcyjnych - Tychy
Contrain,OLX-agencja,,,Łódź,Łódzkie,Poland,2548855170,https://www.olx.pl/oferta/praca/produkcja-uszczelek-i-montaz-stabilna-praca-z-zarobkami-od-6500-zl-brutto-CID4-ID1aLOA6.html,11,Produkcja uszczelek i montaż - Stabilna praca z zarobkami od 6500 zł brutto | Lekka praca przy pakowaniu leków bez doświadczenia - 5015 zł brutto + premie! | Pracownicy produkcji – montaż podzespołów sprzętów AGD,OLX: 11 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Produkcja uszczelek i montaż - Stabilna praca z zarobkami od 6500 zł brutto | Lekka praca przy pakowaniu leków bez doświadczenia - 5015 zł brutto + premie! | Pracownicy produkcji – montaż podzespołów sprzętów AGD
EWL S.A.,OLX-agencja,,,Tczew,Pomorskie,Poland,34040103,https://www.olx.pl/oferta/praca/praca-na-produkcji-bonus-i-doplata-na-transport-bez-doswiadczenia-CID4-ID1aKALd.html,10,"Praca na produkcji - bonus i dopłata na transport - bez doświadczenia | Stabilna praca na produkcji! Umowa o pracę od 1-go dnia! Dobre zarobki | Proste prace od zaraz - darmowy transport, premia!","OLX: 10 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Praca na produkcji - bonus i dopłata na transport - bez doświadczenia | Stabilna praca na produkcji! Umowa o pracę od 1-go dnia! Dobre zarobki | Proste prace od zaraz - darmowy transport, premia!"
Grupa Progres,OLX-lead,,,Pruszcz Gdański,Pomorskie,Poland,45572655,https://www.olx.pl/oferta/praca/pomocnik-produkcji-drzwi-praca-od-rana-wolne-popoludnia-CID4-ID1aKrrM.html,10,"Pomocnik produkcji drzwi -praca od rana, wolne popołudnia. | Produkcja kosmetyków (k/m/x) - dwie zmiany! | Praca przy produkcji kartonów (k/m/x) - 32,50 zł brutto/h","OLX: 10 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Pomocnik produkcji drzwi -praca od rana, wolne popołudnia. | Produkcja kosmetyków (k/m/x) - dwie zmiany! | Praca przy produkcji kartonów (k/m/x) - 32,50 zł brutto/h"
Human & Hunter Sp. z o.o.,OLX-agencja,,,Chrzanów,Śląskie,Poland,287268453,https://www.olx.pl/oferta/praca/pracownik-produkcji-k-m-CID4-ID1aKoMw.html,10,Pracownik produkcji / Працівник продукції (K/M) | (LP] Praca dla osób z technicznym zmysłem - Operator maszyn CNC! | Operator produkcji - obróbka metalu (k/m),OLX: 10 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Pracownik produkcji / Працівник продукції (K/M) | (LP] Praca dla osób z technicznym zmysłem - Operator maszyn CNC! | Operator produkcji - obróbka metalu (k/m)
Saint-Gobain,OLX-lead,,,Gliwice,Śląskie,Poland,46023343,https://www.olx.pl/oferta/praca/pracownik-pracowniczka-produkcji-glassolutions-jaroszowiec-CID4-ID1aj3J4.html,10,Pracownik / Pracowniczka Produkcji Glassolutions Jaroszowiec | Praca Młodszy operator/Młodsza operatorka/Młodszy wózkowy/ Młodsza wózkowa Ecophon Gliwice | Praca Młodszy operator/Młodsza operatorka Ecophon Gliwice,OLX: 10 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Pracownik / Pracowniczka Produkcji Glassolutions Jaroszowiec | Praca Młodszy operator/Młodsza operatorka/Młodszy wózkowy/ Młodsza wózkowa Ecophon Gliwice | Praca Młodszy operator/Młodsza operatorka Ecophon Gliwice
OTTO Work Force,OLX-agencja,,,Dąbrowa Górnicza,Mazowieckie,Poland,45104309,https://www.olx.pl/oferta/praca/operator-ka-maszyn-stabilna-praca-od-zaraz-CID4-ID1aLRpZ.html,9,Operator/ka maszyn! Stabilna praca od zaraz! | Stabilna praca od już !!! montaż i obróbka metali > Nowy Tomyśl | Praca na produkcji w czekoladowym raju | Warszawa,OLX: 9 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Operator/ka maszyn! Stabilna praca od zaraz! | Stabilna praca od już !!! montaż i obróbka metali > Nowy Tomyśl | Praca na produkcji w czekoladowym raju | Warszawa
Interkadra by Synergie,OLX-agencja,,,Wałbrzych,Dolnośląskie,Poland,2547871048,https://www.olx.pl/oferta/praca/operator-maszyn-m-k-x-CID4-ID1aET4s.html,9,Operator maszyn (M/K/X) | operator maszyn (M/K) | Operator maszyn i urządzeń ceramicznych (M/K/X),OLX: 9 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Operator maszyn (M/K/X) | operator maszyn (M/K) | Operator maszyn i urządzeń ceramicznych (M/K/X)
SGP GROUP,OLX-agencja,,,Żagań,Lubuskie,Poland,73789274,https://www.olx.pl/oferta/praca/kontroler-jakosci-elastyczny-grafik-od-zaraz-CID4-ID1aJGAQ.html,8,Kontroler jakości elastyczny grafik od zaraz | Робота на виробництві - безкоштовне житло - Żagań | Praca na produkcji - u nas mieszkasz za DARMO - Żagań (Запрошуємо),OLX: 8 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Kontroler jakości elastyczny grafik od zaraz | Робота на виробництві - безкоштовне житло - Żagań | Praca na produkcji - u nas mieszkasz za DARMO - Żagań (Запрошуємо)
PF Logo Express,OLX-lead,,,Poznań,Wielkopolskie,Poland,32139983,https://www.olx.pl/oferta/praca/operator-druku-cyfrowego-k-m-CID4-ID1aDnsx.html,8,Operator Druku Cyfrowego (K/M) | Brygadzista Produkcji | Inspektor Jakości,OLX: 8 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Operator Druku Cyfrowego (K/M) | Brygadzista Produkcji | Inspektor Jakości
AQS Poland,OLX-agencja,,,Wrocław,Dolnośląskie,Poland,1429967544,https://www.olx.pl/oferta/praca/mlodszy-operator-ka-cnc-prosta-praca-z-malym-doswiadczeniem-CID4-ID1aLKbx.html,7,"Młodszy operator/ka CNC | PROSTA PRACA | z małym doświadczeniem | | PIERWSZA PRACA W CNC - Laser | Wrocław, Centrum | PROSTA PRACA na produkcji | Praca dla kobiet i mężczyzn - Od zaraz","OLX: 7 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Młodszy operator/ka CNC | PROSTA PRACA | z małym doświadczeniem | | PIERWSZA PRACA W CNC - Laser | Wrocław, Centrum | PROSTA PRACA na produkcji | Praca dla kobiet i mężczyzn - Od zaraz"
STEAM Workforce sp. z o.o.,OLX-agencja,,,Nowa Ruda,Śląskie,Poland,24004479,https://www.olx.pl/oferta/praca/tylko-3-dni-w-tyg-szybki-start-komorniki-dzwon-CID4-ID1aKKtH.html,7,Tylko 3 dni w tyg. SZYBKI start/Komorniki DZWOŃ!! | Rusza nowa rekrutacja- Dużo miejsc- Dzwoń | Poszukujemy do współpracy z kat. B lub UDT na wózki/Dzwoń,OLX: 7 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Tylko 3 dni w tyg. SZYBKI start/Komorniki DZWOŃ!! | Rusza nowa rekrutacja- Dużo miejsc- Dzwoń | Poszukujemy do współpracy z kat. B lub UDT na wózki/Dzwoń
Aleksandra Rybinska,OLX-lead,,,Łódź,Łódzkie,Poland,2551247415,https://www.olx.pl/oferta/praca/praca-na-produkcji-CID4-ID1aKkLG.html,7,Praca na produkcji | Praca na produkcji na linii montażowej - nowe stawki! | Praca przy produkcji leków - dołącz do naszego zespołu!,OLX: 7 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Praca na produkcji | Praca na produkcji na linii montażowej - nowe stawki! | Praca przy produkcji leków - dołącz do naszego zespołu!
SuperDrob,OLX-lead,,,Łódź,Łódzkie,Poland,2551430955,https://www.olx.pl/oferta/praca/praca-specjalista-specjalistka-ds-produkcji-zeromin-podstawa-premia-CID4-ID1aKjDb.html,7,PRACA - Specjalista/Specjalistka ds. Produkcji - Żeromin - PODSTAWA + PREMIA | PRACA - Operator - Technik maszyn K/M - umowa o pracę + premia - Karczew | PRACA - Operator Maszyn (k/m) - Produkcja - Łódź - PODSTAWA + PREMIA,OLX: 7 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: PRACA - Specjalista/Specjalistka ds. Produkcji - Żeromin - PODSTAWA + PREMIA | PRACA - Operator - Technik maszyn K/M - umowa o pracę + premia - Karczew | PRACA - Operator Maszyn (k/m) - Produkcja - Łódź - PODSTAWA + PREMIA
FallWork Sp z o.o.,OLX-agencja,,,Poznań,Wielkopolskie,Poland,37435019,https://www.olx.pl/oferta/praca/pracownik-produkcji-proste-prace-manualne-wyplaty-tygodniowe-CID4-ID1aJHP0.html,7,"Pracownik Produkcji – Proste prace manualne, wypłaty tygodniowe! | Składanie kartonów - wypłaty co piątek, praca od zaraz! | PRACA FIZYCZNA- przy produkcji baterii przemysłowych","OLX: 7 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Pracownik Produkcji – Proste prace manualne, wypłaty tygodniowe! | Składanie kartonów - wypłaty co piątek, praca od zaraz! | PRACA FIZYCZNA- przy produkcji baterii przemysłowych"
Edyta,OLX-lead,,,Radzyń Podlaski,Lubelskie,Poland,1172538649,https://www.olx.pl/oferta/praca/brygadzista-tka-kierownik-czka-zmiany-CID4-ID1aj2Yr.html,7,Brygadzista/tka/ Kierownik/czka zmiany | Kierownik/czka Magazynu | Pracownik/ca produkcji,OLX: 7 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Brygadzista/tka/ Kierownik/czka zmiany | Kierownik/czka Magazynu | Pracownik/ca produkcji
