"Organization name",Phone,Email,Website,Address,"Address city","Address state","Address country",Label,"Liczba ofert OLX","Ostatnia oferta OLX","Pierwsza oferta OLX","OLX ID","Przykladowa oferta URL","Stanowiska (probka)"
Saint-Gobain,"","","","",Gliwice,"Śląskie",Polska,"Elektryka / Automatyka / UR",14,2026-04-21,2024-12-18,46023343,https://www.olx.pl/oferta/praca/pracownik-produkcyjny-pracowniczka-produkcyjna-sekurit-transport-zary-CID4-ID18XdcH.html,"Operator/Operatorka linii produkcyjnej Isover Gliw,PRACA Operator/Operatorka Linii Produkcyjnej / Rig,Młodszy Operator/Młodsza Operatorka Linii Prod. WS,Pracownik / Pracowniczka Produkcji Glassolutions J,Elektryk Zmianowy /Elektryczka Zmianowa Gliwice Is,Młodszy Operator/Młodsza Operatorka Linii Prod. WM,Operator/Operatorka linii produkcyjnej GLIWICE Eco,Praca Młodszy operator/Młodsza operatorka/Młodszy ,Praca Młodszy operator/Młodsza operatorka Ecophon ,Automatyk zmianowy/Automatyczka zmianowa Isover Gl,Elektroautomatyk zmianowy /Elektroautomatyczka zmi,Młodszy Operator / Młodsza Operatorka Surowcowni i,Lider / Liderka Procesu Saint- Gobain Enkapsulacja,Pracownik Produkcyjny/ Pracowniczka Produkcyjna Se"
"PF Logo Express","","","","","Poznań",Wielkopolskie,Polska,"Kontrola jakości",8,2026-05-14,2020-10-29,32139983,https://www.olx.pl/oferta/praca/pracownik-produkcji-k-m-bezplatny-transport-CID4-IDH9pfV.html,"Pracownik Produkcji (k/m) + bezpłatny transport,Operator Druku Cyfrowego (K/M),Brygadzista Produkcji,Inspektor Jakości,Pracownik Produkcji + bezpłatny transport"
"Mondelez International","","","","",Nysa,Opolskie,Polska,"Produkcja ogólna",8,2026-05-13,2019-04-03,44579849,https://www.olx.pl/oferta/praca/technik-liniowy-techniczka-liniowa-slodka-praca-darmowy-dojazd-CID4-IDIsOU5.html,"Technik Liniowy/Techniczka Liniowa – darmowy dojaz,Technik Liniowy/Techniczka Liniowa – Słodka praca ,Prowadzący/Prowadząca Proces- – darmowy dojazd!,Technik Liniowy/Techniczka Liniowa – praca na prod"
Nestle,"","","","",Kalisz,Wielkopolskie,Polska,"Elektryka / Automatyka / UR",8,2026-05-04,2024-05-06,1454334320,https://www.olx.pl/oferta/praca/praktykant-praktykantka-w-dziale-produkcji-CID4-ID1au2re.html,"Pracownik Produkcji K/M (Nestle Kargowa),Praca produkcja techniczny Mechatronik (K/M) Nestl,Praktykant/Praktykantka w Dziale Produkcji,Praca produkcja  Mechanik Warsztatowy ( K/M) Nestl,Praca produkcja  Technik Energetyk ( K/M) Nestle K,Praca utrzymania ruchu  Mistrz Warsztatu Elektrycz,Praca produkcja Technik Elektryk ( K/M) Nestle Kal,Praca utrzymania ruchu produkcja  Mistrz Warsztatu"
"CPF Culinar","","","","","Żeromin",Wielkopolskie,Polska,Magazyn,7,2026-05-21,2026-04-10,2551430955,https://www.olx.pl/oferta/praca/praca-specjalista-specjalistka-ds-produkcji-zeromin-podstawa-premia-CID4-ID1aKjDb.html,"PRACA - Specjalista/Specjalistka ds. Produkcji - Ż,PRACA - Operator - Technik maszyn K/M - umowa o pr,PRACA - Operator Maszyn (k/m) - Produkcja - Łódź -,PRACA - Kontroler Jakości (k/m) - Produkcja - Bez ,PRACA - Kontroler Jakości  (k/m) - Karczew - bez d,PRACA - Brygadzista (k/m) - Magazyn Opakowań - Pro"
"Grupa Maspex Sp. z o.o.","","","","","Łowicz","Łódzkie",Polska,"Produkcja ogólna",7,2026-05-21,2026-04-30,38734145,https://www.olx.pl/oferta/praca/technik-utrzymania-ruchu-k-m-CID4-ID1aHyqG.html,"Operator banderolowania (k/m),Specjalista ds. Jakości Procesów Produkcyjnych (k/,Młodszy kontroler przyjęcia dostaw (k/m),Specjalista ds. ciągłego doskonalenia (k/m),Pracownik Produkcji (k/m),Technik utrzymania ruchu (k/m)"
"Grupa Veolia w Polsce","","","","","Żerniki",Wielkopolskie,Polska,"Produkcja ogólna",7,2026-05-07,2026-03-06,31943857,https://www.olx.pl/oferta/praca/technik-techniczka-utrzymania-obiektu-CID4-ID1ax3YW.html,"Technik / Techniczka Utrzymania Obiektu,Technik/Techniczka obsługi kotłowni przemysłowej,Specjalista/ Specjalistka ds. wsparcia techniczneg"
"Model Opakowania Sp. z.o.o","","","","","Czosnów",Mazowieckie,Polska,"Elektryka / Automatyka / UR",6,2026-05-21,2025-01-31,35293599,https://www.olx.pl/oferta/praca/praca-na-wakacje-wsparcie-obszaru-produkcyjnego-CID4-ID1aKleq.html,"Praca na wakacje- wsparcie obszaru produkcyjnego,Pomocnik operatora maszyn/ operator maszyn (K/M),Operator maszyn/ Pomocnik operatora maszyn,Operator maszyny drukującej,Elektromechanik-Utrzymanie Ruchu (K/M)"
"Rockfin S.A","","","","","Małkowo",Pomorskie,Polska,"Przemysł metalowy / obróbka",5,2026-05-22,2026-04-30,540557026,https://www.olx.pl/oferta/praca/spawacz-tig-k-m-CID4-ID1aLRAe.html,"Monter/ Monterka,Spawacz TIG (k/m),Malarz przemysłowy (k/m),Kierowniczka/Kierownik Magazynu,Kontroler Odbioru Dostaw"
"Domgos 2 Sp. z o.o.","","","","",Bytom,"Śląskie",Polska,"Przemysł metalowy / obróbka",5,2026-05-21,2026-04-22,445688670,https://www.olx.pl/oferta/praca/spawacz-monter-aluminium-bytom-k-m-CID4-ID1alSPH.html,"Brygadzista / Mistrz zmianowy - Bytom (K/M),Ślusarz - Bytom (K/M),Monter-Spawacz Bytom (K/M),Spawacz-Monter Aluminium -  Bytom (K/M),Operator prasy krawędziowej - Bytom (K/M)"
